X,Y,Topic
-3.6008039,8.364624,Topic9
-0.16089852,15.16127,Topic10
-9.961395,22.031689,Topic10
7.7138166,9.816631,Topic9
-11.219523,17.824526,Topic10
-9.485296,28.89816,Topic10
-9.68939,5.5062094,Topic10
-13.171016,24.019009,Topic10
-15.030694,8.55321,Topic1
-16.926762,14.814825,Topic8
2.6512022,12.752094,Topic9
17.410297,-3.1674616,Topic9
-12.146707,-5.4172506,Topic5
-7.043743,-4.0635014,Topic5
13.130133,-19.731966,Topic6
-11.253561,-21.584318,Topic1
-4.667746,-19.870485,Topic1
10.759256,-0.6515387,Topic9
1.6374995,11.919215,Topic9
-5.8379517,-21.627535,Topic1
-11.052425,-3.0549524,Topic5
18.11239,-9.812234,Topic3
13.131052,1.9501822,Topic9
-4.024247,9.840187,Topic9
-13.656435,-22.201881,Topic1
21.343323,-7.531749,Topic7
-12.19019,-22.421616,Topic1
22.317738,-8.936886,Topic7
-5.14719,-23.006073,Topic1
21.42641,-6.5699224,Topic7
-9.429668,-6.0022297,Topic5
-5.3293815,-7.224302,Topic9
-0.6462966,-1.8709579,Topic4
-11.482516,-18.549349,Topic1
-9.43411,15.514066,Topic10
-10.922712,10.4577055,Topic10
12.531352,-8.346956,Topic9
-11.865111,-3.183792,Topic5
-10.017818,3.70554,Topic10
-11.489545,27.581806,Topic10
4.049499,11.56441,Topic9
-10.068875,2.136466,Topic5
-5.226183,19.970306,Topic10
-2.40365,16.654797,Topic10
-9.396891,1.7454127,Topic5
-5.4700546,23.401335,Topic10
7.0325146,8.596007,Topic9
-14.2144,10.52533,Topic1
9.3156395,3.5460436,Topic9
1.0948591,24.420315,Topic10
-5.7796583,28.171099,Topic10
-15.559247,8.024723,Topic1
-15.984089,7.3198705,Topic1
6.5935297,-17.579128,Topic8
3.9270709,-4.6458116,Topic9
5.480917,9.357646,Topic9
-4.704086,5.784173,Topic10
0.4934758,24.493896,Topic10
-7.401615,2.9153862,Topic10
11.431449,-21.567944,Topic6
4.962264,10.229976,Topic9
-9.67776,22.475676,Topic10
-6.3981266,25.7576,Topic10
-8.298799,27.571226,Topic10
-3.5762398,19.460484,Topic10
6.0010657,0.28254214,Topic2
-10.4552965,12.4670315,Topic10
-1.6306477,16.584454,Topic10
5.73856,10.096373,Topic9
-2.6324036,13.700516,Topic10
-6.696095,26.474792,Topic10
-4.566979,18.49529,Topic10
-8.536377,31.345469,Topic10
-6.7016554,31.187843,Topic10
-11.210295,17.51006,Topic10
6.8088746,9.698572,Topic9
13.541492,-11.461314,Topic9
-0.49828902,24.546936,Topic10
7.9574566,9.2562895,Topic9
8.800305,3.2584376,Topic9
-1.952275,18.124613,Topic10
-11.160388,27.846169,Topic10
-8.368952,21.884787,Topic10
-9.59454,29.570307,Topic10
-5.404135,29.98002,Topic10
6.613806,12.116859,Topic9
-12.711843,21.42686,Topic10
-7.1260138,18.267065,Topic10
-7.8171535,30.07331,Topic10
16.08735,4.452857,Topic9
-9.198288,-2.0227864,Topic5
2.958372,12.122846,Topic9
-0.94186336,13.633781,Topic10
6.5086164,11.16031,Topic9
10.058172,2.7456303,Topic9
