id,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Dominant_topic
0,0.005556010227873378,0.005556049587956476,0.005557115025379544,0.005556505965143496,0.005556390898696502,0.9499926737154946,0.005556345761858553,0.00555652288024163,0.005556371278104761,0.005556014659250944,Topic6
1,0.008333955111569919,0.9249902956828632,0.008334797265188605,0.008334238695519641,0.008334302326769705,0.008334027020903382,0.008336225737948587,0.008334225717869645,0.008333814777739104,0.00833411766362829,Topic2
2,0.010001527330779811,0.01000164586077709,0.010001003494877229,0.010001370447166823,0.010002208308882515,0.010002171011702863,0.5834393737301196,0.33654894494640014,0.010000857937337588,0.010000896931956466,Topic7
3,0.005001462696480451,0.0050010377536720664,0.005000868519940972,0.9549905577973172,0.0050008414956008275,0.005000588573401835,0.005001247187495883,0.005001478850952201,0.005000861473146598,0.005001055651991978,Topic4
4,0.0037043116931622534,0.0037042510449270412,0.003704079116603555,0.9666624557144203,0.0037042457323752747,0.0037041407200892142,0.0037042946892528283,0.003704161473531031,0.00370394265919966,0.003704117156438703,Topic4
5,0.006667303813620348,0.0066674018279705574,0.006667350128881737,0.9399941516558696,0.0066670806447373596,0.006666821041240102,0.006668070951719674,0.0066678291845053165,0.00666688459384438,0.006667106157610703,Topic4
6,0.005556195895215144,0.005556953076799631,0.005557452332556289,0.005556458728270993,0.9499894893692782,0.00555677589243076,0.005557424926394971,0.005556372283309496,0.005556248533661386,0.0055566289620830375,Topic5
7,0.01000350304688491,0.010002403314313442,0.010002759154302513,0.9099775025330313,0.010002232124174308,0.010003814898361512,0.010001479237526902,0.010002792284734243,0.010002356568080363,0.010001156838590437,Topic4
8,0.005556709984984374,0.9499912279071714,0.005556435139236242,0.005556215943472823,0.0055563698266844486,0.005556076234160821,0.00555682062145817,0.005557409685264843,0.0055562693825674005,0.005556465274999662,Topic2
9,0.009092392319315136,0.009093009724633245,0.00909343878110906,0.009092607159152387,0.009092005439757888,0.9181646623038725,0.009092030917748196,0.009094449493729203,0.00909299407252854,0.009092409788153883,Topic6
10,0.01000041733570614,0.010001131880310585,0.010002458888407548,0.010000646976615,0.010001234133492602,0.010002272178714576,0.010000169334493911,0.9099899115522281,0.010000852915975848,0.010000904804055688,Topic8
11,0.005000593876886122,0.00500112727646694,0.00500061939589984,0.005001543406897811,0.005000475481181093,0.005001404061233186,0.005001129370766278,0.005001355802708526,0.9549901155477618,0.005001635780198346,Topic9
12,0.011113541060074405,0.011112121528225518,0.8999867046737102,0.011112762398637914,0.011111778679590881,0.011112402878366926,0.011113861907245877,0.011112324021838392,0.01111249921540516,0.011112003636904897,Topic3
13,0.6558691267104486,0.012503399535140099,0.012502837529056508,0.012501900857892807,0.012500611705013582,0.01250134227589856,0.24411561773508986,0.012502092821379283,0.012501845503603575,0.01250122532647707,Topic1
14,0.007693758740417689,0.007697381173973627,0.0076946602287770675,0.007695041084843329,0.007695371380232321,0.930746482247072,0.007694403517156502,0.0076951279172537326,0.007694299617730129,0.00769347409254352,Topic6
15,0.009092049937081901,0.009092428781405959,0.00909167218440163,0.00909563916897178,0.009092419273141469,0.00909118236332285,0.009091278447443993,0.009094064943585925,0.00909153412869502,0.9181677307719495,Topic10
16,0.00476262865166615,0.004763006387419214,0.004762690538936187,0.004762651551784616,0.004762912365609814,0.004762704247632579,0.004762244308718783,0.004763108774609828,0.004762692936579434,0.9571353602370434,Topic10
17,0.007145631259024968,0.007144433245804634,0.0071438364353196655,0.0071452772329264795,0.007144491748192299,0.007144214718260069,0.935698481985914,0.007144234374972472,0.00714416755199563,0.0071452314475899115,Topic7
18,0.0071435997521671155,0.007143383439374939,0.007145346620037455,0.007144823485135015,0.007144639534740026,0.935702169864002,0.007143930664301894,0.007144298397326123,0.007144036823658795,0.007143771419256533,Topic6
19,0.010001104253533892,0.010001646230951072,0.010001599173918897,0.01000193734662273,0.9099807325583431,0.010002885057013,0.010001816629235416,0.010002284192507848,0.01000408151601729,0.010001913041856686,Topic5
20,0.36373714945480073,0.129031769949459,0.00588286005048841,0.005883581832714168,0.005883062171821743,0.005884384534489022,0.005883687629561105,0.46604532915076124,0.0058844144365456435,0.005883760789358809,Topic8
21,0.005883616246887698,0.005883077228427708,0.0058833101267015625,0.005883495136518255,0.005883351989679597,0.9470496028629221,0.005883399656698149,0.005883697065222429,0.0058831483897851524,0.005883301297157278,Topic6
22,0.012500762850041336,0.012504594471833523,0.8874794649895339,0.012501964881114016,0.012501449955499174,0.01250209847330688,0.012501837047186621,0.012502559617310971,0.012502618378825919,0.012502649335347688,Topic3
23,0.012508922436113502,0.012502647100582662,0.012501020744032173,0.012501486260342753,0.012501072326594144,0.012502370453936186,0.8874796341262744,0.012502064235695503,0.012500509491397409,0.012500272825031295,Topic7
24,0.005883232688699312,0.0058841088424404645,0.005885133758585977,0.005883503807344313,0.005882865828928775,0.947045576707486,0.005883279182161122,0.005884262372137393,0.005883555762947592,0.005884481049269127,Topic6
25,0.005884096919894324,0.0058835352438227455,0.0058838310311001805,0.005884390078966877,0.005883429172212567,0.00588354145367607,0.005883832646906771,0.9470459550324597,0.005883415740500477,0.005883972680460332,Topic8
26,0.0045461933676726966,0.004546050789752333,0.0045463053724789275,0.004546522125188808,0.0045466679539555846,0.9590830899071486,0.004547219799316441,0.00454608894073082,0.004545884750434863,0.004545976993320749,Topic6
27,0.007143953664133327,0.007145770177925724,0.9357001032787955,0.007144470235206293,0.007144323373048977,0.007143946697250727,0.0071440885285457435,0.007144904398768772,0.007144137037655101,0.007144302608669876,Topic3
